address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,ellem,middle,hs
23526 Painted Hills St,PARKER,CO,80138,625000,5772.0,5.0,5.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23526-Painted-Hills-St-Parker-CO-80138/55813973_zpid/,NA,NA,NA
188 Peak View Pl,PARKER,CO,80138,1125000,6170.0,4.0,5.0,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/188-Peak-View-Pl-Parker-CO-80138/13524619_zpid/,NA,NA,NA
11571 Colony Loop,PARKER,CO,80138,440000,3000.0,3.0,3.0,75,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11571-Colony-Loop-Parker-CO-80138/108398679_zpid/,NA,NA,NA
12223 S Season Ct,PARKER,CO,80138,699900,4616.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/12223-S-Season-Ct-Parker-CO-80138/67452593_zpid/,NA,NA,NA
8717 N Awl Rd,PARKER,CO,80138,850000,4206.0,4.0,5.0,226,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8717-N-Awl-Rd-Parker-CO-80138/13477494_zpid/,NA,NA,NA
11675 Pine Canyon Pt # RG36D0,Parker,CO,80138,594995,3999.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851905_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
2494 Sagebrush St,PARKER,CO,80138,885000,5656.0,4.0,4.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2494-Sagebrush-St-Parker-CO-80138/99338604_zpid/,NA,NA,NA
Unknown # QYO53K,Parker,CO,80138,564950,3602.0,5.0,4.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096080530_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
22045 E Tallkid Ave,PARKER,CO,80138,469900,3628.0,2.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22045-E-Tallkid-Ave-Parker-CO-80138/82030052_zpid/,NA,NA,NA
22230 E Idyllwilde Dr,PARKER,CO,80138,825000,5720.0,6.0,6.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22230-E-Idyllwilde-Dr-Parker-CO-80138/67452589_zpid/,NA,NA,NA
3550 Zane Gray Loop,PARKER,CO,80138,610000,3748.0,4.0,4.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3550-Zane-Gray-Loop-Parker-CO-80138/104102405_zpid/,NA,NA,NA
11675 Pine Canyon Pt # FJRFJ2,Parker,CO,80138,601995,4149.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221605_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
7530 Flintwood Rd,Parker,CO,80138,1950000,7327.0,8.0,5.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7530-Flintwood-Rd-Parker-CO-80138/147404102_zpid/,NA,NA,NA
11675 Pine Canyon Pt # DAXO6W,Parker,CO,80138,624995,3999.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094888606_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
21962 E Idyllwilde Dr # 5AOIS8,Parker,CO,80138,519995,2971.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221512_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
21962 E Idyllwilde Dr # KH81CS,Parker,CO,80138,458995,2516.0,2.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851946_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
11675 Pine Canyon Pt # SEQ7SI,Parker,CO,80138,581995,4149.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851925_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
8263 Merryvale Trl,Parker,CO,80138,1275000,5286.0,4.0,5.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8263-Merryvale-Trl-Parker-CO-80138/2091043617_zpid/,NA,NA,NA
20855 Omaha Ave,PARKER,CO,80138,439900,3614.0,3.0,2.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20855-Omaha-Ave-Parker-CO-80138/13473037_zpid/,NA,NA,NA
20444 Heather Ln,PARKER,CO,80138,425000,3119.0,3.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20444-Heather-Ln-Parker-CO-80138/13474723_zpid/,NA,NA,NA
3010 Coal Creek St,PARKER,CO,80138,789900,4492.0,4.0,4.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3010-Coal-Creek-St-Parker-CO-80138/82592992_zpid/,NA,NA,NA
Unknown # URZD15,Parker,CO,80138,557950,3385.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092423624_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
23555 Broadmoor Dr,PARKER,CO,80138,369000,1872.0,3.0,3.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23555-Broadmoor-Dr-Parker-CO-80138/13477092_zpid/,NA,NA,NA
Unknown # Z2MH9J,Parker,CO,80138,503950,2180.0,2.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094026920_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
Unknown # URZENM,Parker,CO,80138,512950,3128.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096080533_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
23526 Painted Hills St,PARKER,CO,80138,625000,5772.0,5.0,5.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23526-Painted-Hills-St-Parker-CO-80138/55813973_zpid/,NA,NA,NA
188 Peak View Pl,PARKER,CO,80138,1125000,6170.0,4.0,5.0,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/188-Peak-View-Pl-Parker-CO-80138/13524619_zpid/,NA,NA,NA
11571 Colony Loop,PARKER,CO,80138,440000,3000.0,3.0,3.0,75,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11571-Colony-Loop-Parker-CO-80138/108398679_zpid/,NA,NA,NA
12223 S Season Ct,PARKER,CO,80138,699900,4616.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/12223-S-Season-Ct-Parker-CO-80138/67452593_zpid/,NA,NA,NA
8717 N Awl Rd,PARKER,CO,80138,850000,4206.0,4.0,5.0,226,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8717-N-Awl-Rd-Parker-CO-80138/13477494_zpid/,NA,NA,NA
11675 Pine Canyon Pt # RG36D0,Parker,CO,80138,594995,3999.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851905_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
2494 Sagebrush St,PARKER,CO,80138,885000,5656.0,4.0,4.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2494-Sagebrush-St-Parker-CO-80138/99338604_zpid/,NA,NA,NA
Unknown # QYO53K,Parker,CO,80138,564950,3602.0,5.0,4.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096080530_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
22045 E Tallkid Ave,PARKER,CO,80138,469900,3628.0,2.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22045-E-Tallkid-Ave-Parker-CO-80138/82030052_zpid/,NA,NA,NA
22230 E Idyllwilde Dr,PARKER,CO,80138,825000,5720.0,6.0,6.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22230-E-Idyllwilde-Dr-Parker-CO-80138/67452589_zpid/,NA,NA,NA
3550 Zane Gray Loop,PARKER,CO,80138,610000,3748.0,4.0,4.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3550-Zane-Gray-Loop-Parker-CO-80138/104102405_zpid/,NA,NA,NA
11675 Pine Canyon Pt # FJRFJ2,Parker,CO,80138,601995,4149.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221605_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
7530 Flintwood Rd,Parker,CO,80138,1950000,7327.0,8.0,5.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7530-Flintwood-Rd-Parker-CO-80138/147404102_zpid/,NA,NA,NA
11675 Pine Canyon Pt # DAXO6W,Parker,CO,80138,624995,3999.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094888606_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
21962 E Idyllwilde Dr # 5AOIS8,Parker,CO,80138,519995,2971.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221512_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
21962 E Idyllwilde Dr # KH81CS,Parker,CO,80138,458995,2516.0,2.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851946_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
11675 Pine Canyon Pt # SEQ7SI,Parker,CO,80138,581995,4149.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851925_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
8263 Merryvale Trl,Parker,CO,80138,1275000,5286.0,4.0,5.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8263-Merryvale-Trl-Parker-CO-80138/2091043617_zpid/,NA,NA,NA
20855 Omaha Ave,PARKER,CO,80138,439900,3614.0,3.0,2.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20855-Omaha-Ave-Parker-CO-80138/13473037_zpid/,NA,NA,NA
20444 Heather Ln,PARKER,CO,80138,425000,3119.0,3.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20444-Heather-Ln-Parker-CO-80138/13474723_zpid/,NA,NA,NA
3010 Coal Creek St,PARKER,CO,80138,789900,4492.0,4.0,4.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3010-Coal-Creek-St-Parker-CO-80138/82592992_zpid/,NA,NA,NA
Unknown # URZD15,Parker,CO,80138,557950,3385.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092423624_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
23555 Broadmoor Dr,PARKER,CO,80138,369000,1872.0,3.0,3.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23555-Broadmoor-Dr-Parker-CO-80138/13477092_zpid/,NA,NA,NA
Unknown # Z2MH9J,Parker,CO,80138,503950,2180.0,2.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094026920_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
Unknown # URZENM,Parker,CO,80138,512950,3128.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096080533_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA
